"id","stage_name","owner","company_id","company","added_on","created_at","currency","decimal_value","last_stage_change_at","added_on_epoch","created_at_epoch","last_stage_change_at_epoch"
"24804644","Won","Aly Lalani","73868311","Shoppers Drug Mart - South Fraser Way","2016-09-29","2016-09-29T18:48:38Z","CAD",200,"2016-09-29T18:47:47Z",1475132400000,1475200118000,1475200067000
"27305699","Won","Nabil Khan","89575258","Head to Toe Electrolysis & Laser","2016-11-29","2016-11-29T20:15:46Z","CAD",36,"2016-11-29T20:16:30Z",1480406400000,1480479346000,1480479390000
"31162569","Won","Nabil Khan","124073658","Refresh Day Spa","2017-01-25","2017-01-25T23:14:30Z","CAD",250,"2017-01-25T23:14:30Z",1485331200000,1485414870000,1485414870000
"28266227","Won","Nabil Khan","124073718","Aesthetic Therapies Laser Clinic","2016-12-21","2016-12-21T18:58:34Z","CAD",225,"2016-12-21T18:57:34Z",1482307200000,1482375514000,1482375454000
"33577839","Won","Nabil Khan","124074040","Maria Sousa Electrolysis Ltd","2017-03-07","2017-03-07T22:48:55Z","CAD",80,"2017-03-07T22:46:54Z",1488873600000,1488955735000,1488955614000
"27012825","Won","Nabil Khan","124274184","Chellsey Institute of Beauty & Health","2016-11-21","2016-11-21T20:33:34Z","CAD",200,"2016-11-21T20:32:36Z",1479715200000,1479789214000,1479789156000
"18614663","Won","Nabil Khan","124274425","Hey Sexy Look Beauty Lounge","2016-05-16","2016-05-16T18:17:51Z","CAD",250,"2016-05-16T18:17:51Z",1463382000000,1463447871000,1463447871000
"26772594","Won","Nabil Khan","124764738","Natural Touch Aesthetics & Laser Hair Removal Clinic","2016-11-16","2016-11-16T18:06:26Z","CAD",480,"2016-11-16T18:05:30Z",1479283200000,1479348386000,1479348330000
"34162076","Won","Nabil Khan","126303337","Novaline Permanent Cosmetics","2017-03-19","2017-03-19T01:32:39Z","CAD",480,"2017-03-19T04:32:39Z",1489906800000,1489912359000,1489923159000
"30887313","Won","Nabil Khan","126904378","Bronze Bliss Tanning Inc","2017-01-19","2017-01-19T17:57:36Z","CAD",480,"2017-01-19T17:56:35Z",1484812800000,1484877456000,1484877395000
