"date","retention_rate"
"2015-04-26",0
"2015-05-26",0
"2015-06-25",0
"2015-07-25",0
"2015-08-24",0.2
"2015-09-23",0.21
"2015-10-23",0.22
"2015-11-21",0.2
"2015-12-21",0.21
"2016-01-20",0.2
"2016-02-19",0.22
"2016-03-21",0.21
"2016-04-20",0.22
"2016-05-20",0.22
"2016-06-19",0.23
"2016-07-19",0.23
"2016-08-18",0.22
"2016-09-17",0.19
"2016-10-17",0.24
"2016-11-15",0.24
"2016-12-15",0.23
"2017-01-14",0.31
"2017-02-13",0.39
"2017-03-16",0.38
"2017-04-15",0.35
"2017-05-15",0.38
"2017-06-14",0.36
"2017-07-14",0.35
"2017-08-13",0.32
"2017-09-12",0.32
"2017-10-12",0.33
"2017-11-10",0.33
"2017-12-10",0.32
