"contact_created_at_epoch","last_stage_change_at_epoch","avg_deal_size","initial_purchase_value","initial_purchase_cycle_in_days","date","contact_count"
1414243608500,1472522793500,960,900,674.5,"2014-10-20",1
,,,,,"2014-11-19",0
,,,,,"2014-12-19",0
,,,,,"2015-01-18",0
1425064766636.3635,1476900403818.182,1166.1651136363637,1195.6363636363637,599.3636363636364,"2015-02-17",1
1427558824000,1482222464000,1313.8690476190477,1302.5,632,"2015-03-19",1
1430444194000,1480479240000,258,480,579,"2015-04-18",1
1433988008000,1489635040000,1428.385,2073.6,644,"2015-05-18",1
,,,,,"2015-06-17",0
,,,,,"2015-07-17",0
1441702725666.6667,1480245991666.6667,218.0648148148148,213.33333333333334,445.3333333333333,"2015-08-16",1
1442376137000,1460615067000,560,480,211,"2015-09-15",1
1446176028000,1465358877000,1152,1152,222,"2015-10-15",1
,,,,,"2015-11-14",0
,,,,,"2015-12-14",0
,,,,,"2016-01-13",0
,,,,,"2016-02-12",0
,,,,,"2016-03-13",0
1461269390642.8572,1473086328500,762.7554081632653,2026.2857142857142,136.14285714285714,"2016-04-12",1
1463711556000,1468993005000,307.7,480,61,"2016-05-12",1
1467928979062.5,1479210367546.875,763.917018368008,816.67828125,130.125,"2016-06-11",1
1468973054105.2632,1479698128017.544,388.1062475633528,344.9661403508772,123.54385964912281,"2016-07-11",1
1472328687000,1480519255333.3333,1902,1600,94,"2016-08-10",1
1474651344000,1478342210250,1069.8395833333332,938.4,42,"2016-09-09",1
1476242799500,1492782410500,5254.4400000000005,5092.385,191,"2016-10-09",1
1480198939571.4285,1487436837714.2856,651.6904761904763,611.4285714285714,83.42857142857143,"2016-11-08",1
1481691771000,1487999031000,1080,1080,73,"2016-12-08",1
1484481126636.3635,1492812365909.0908,535.6877272727273,458.87272727272733,96,"2017-01-07",1
,,,,,"2017-02-06",0
1489505538500,1497418644500,175,175,91.5,"2017-03-08",1
1493069062500,1497720386500,357.5,357.5,53,"2017-04-07",1
1494646662000,1495113169000,364,364,5,"2017-05-07",1
1498697212000,1501544325000,374.19,374.19,32,"2017-06-06",1
1500751671545.4546,1504940763272.7273,453.92772727272717,454.55818181818177,48.13636363636363,"2017-07-06",1
1503175514125,1507294304250,520.874375,520.26,47.125,"2017-08-05",1
1505271851000,1507767841000,300,300,28,"2017-09-04",1
1507696112600,1508728418200,402.102,402.102,11.4,"2017-10-04",1
