"decimal_value","added_on_epoch","created_at_epoch","last_stage_change_at_epoch","date","contact_count"
896,1460473200000,1463637525000,1460527173666.6667,"2016-04-11",3
1728,1460962800000,1462326018000,1461029958000,"2016-04-18",1
,,,,"2016-04-25",0
480,1462431600000,1462501500000,1462501440000,"2016-05-02",1
365,1462993200000,1464446894500,1463042834500,"2016-05-09",2
892.8571428571429,1463567142857.1428,1463703267714.2856,1463635661857.1428,"2016-05-16",7
250,1464246000000,1464317862000,1464317862000,"2016-05-23",1
480,1464591600000,1464669828000,1464669828000,"2016-05-30",1
1326.4,1465403760000,1465461813400,1465461801800,"2016-06-06",5
,,,,"2016-06-13",0
626.5,1466773200000,1467498749000,1466807563000,"2016-06-20",4
870,1467270000000,1467475816500,1467346137000,"2016-06-27",2
633.3333333333334,1467730800000,1467774642333.3333,1467774686000,"2016-07-04",3
1471.4285714285713,1468380857142.8572,1468448748714.2856,1468544238142.8572,"2016-07-11",7
566,1468998000000,1469053333000,1469093764000,"2016-07-18",6
1541.0683333333334,1469617200000,1469688290500,1469675445000,"2016-07-25",6
1945.111111111111,1470102000000,1469910359666.6667,1470338808777.7778,"2016-08-01",9
375.0833333333333,1470373200000,1470443855833.3333,1470860552833.3333,"2016-08-08",12
468.6666666666667,1470438000000,1470062029500,1471517808166.6667,"2016-08-15",6
212.5,1472065200000,1472133517750,1472133502750,"2016-08-22",4
336.6666666666667,1472569200000,1472012404166.6667,1472629916666.6667,"2016-08-29",6
828.6,1473266160000,1472879141600,1473332225800,"2016-09-05",10
401.5,1473771600000,1473839630500,1473839632750,"2016-09-12",4
551.9428571428572,1474465885714.2856,1472413534714.2856,1474531678857.1428,"2016-09-19",7
410.85714285714283,1475064514285.7144,1474705579142.8572,1475130221428.5715,"2016-09-26",14
426,1474950960000,1472962963500,1475700565500,"2016-10-03",10
613.6666666666666,1476270000000,1474973482666.6667,1476329582833.3333,"2016-10-10",6
416.5,1476860400000,1475343843250,1476898871000,"2016-10-17",4
382.72727272727275,1477512327272.7273,1477580425727.2727,1477580382545.4546,"2016-10-24",11
481.22222222222223,1478224800000,1478272483333.3333,1478272043444.4443,"2016-10-31",9
475.3333333333333,1478692800000,1478758998000,1478757224000,"2016-11-07",6
307.5,1479196800000,1479245948500,1479245064250,"2016-11-14",4
295,1479931200000,1479987195250,1479989849500,"2016-11-21",4
304,1480449600000,1480519011000,1480518997500,"2016-11-28",10
293.3333333333333,1481011200000,1481078109333.3333,1481211853222.2222,"2016-12-05",9
322.5,1481673600000,1481748382666.6667,1481748534166.6667,"2016-12-12",6
112,1482203520000,1482277732400,1482277658800,"2016-12-19",5
1193.5,1482912000000,1482992581500,1482992562000,"2016-12-26",2
338.75,1483624800000,1483647746750,1483647849500,"2017-01-02",4
320.7142857142857,1483652571428.5715,1483213738857.1428,1484178484714.2856,"2017-01-09",7
520.6666666666666,1483920000000,1483991198166.6667,1484757420666.6667,"2017-01-16",6
381.25,1485288000000,1485352792750,1485352824500,"2017-01-23",4
476.23333333333335,1482162600000,1482866043000,1485992452666.6667,"2017-01-30",6
230.4,1486229760000,1486292543400,1486693843600,"2017-02-06",5
902.75,1485892800000,1485942275750,1487207099875,"2017-02-13",8
479,1485806400000,1485860181250,1487890624000,"2017-02-20",4
570.5714285714286,1479824742857.1428,1479891531428.5715,1488443418857.1428,"2017-02-27",7
692,1482046800000,1482117054666.6667,1489059368333.3333,"2017-03-06",3
804.5333333333333,1489532400000,1489578876333.3333,1489645992333.3333,"2017-03-13",3
4672.8,1488939840000,1489011098600,1490213414800,"2017-03-20",5
669.76,1490736240000,1490786180600,1490789145800,"2017-03-27",5
484,1491332400000,1491382995250,1491383085750,"2017-04-03",4
175,1492066800000,1492097758000,1492426166000,"2017-04-10",1
480,1492585200000,1492645150000,1492645030000,"2017-04-17",1
1190,1493341200000,1493416817000,1493416870750,"2017-04-24",4
825.3333333333334,1493766000000,1493833852333.3333,1493834187666.6667,"2017-05-01",3
602,1486854000000,1486927953000,1494373462333.3333,"2017-05-08",3
819.4,1492305300000,1492365119750,1495096669250,"2017-05-15",4
1450,1494716400000,1494778900000,1495732924000,"2017-05-22",3
1787,1496214000000,1496289229400,1496289666200,"2017-05-29",5
540.6666666666666,1496833200000,1496896202000,1496896160500,"2017-06-05",6
284.3333333333333,1497423600000,1497498798500,1497498868500,"2017-06-12",6
446.6666666666667,1489074000000,1489136909000,1498038123333.3333,"2017-06-19",3
381.93333333333334,1498575600000,1498653938666.6667,1498653941666.6667,"2017-06-26",3
400,1490340600000,1491829592000,1499527299500,"2017-07-03",2
1440,1500015600000,1500090179000,1500090118000,"2017-07-10",1
360,1500274800000,1500346183000,1500346133000,"2017-07-17",1
1269.602,1497147840000,1497458610600,1501142041800,"2017-07-24",5
437.0969999999999,1500888240000,1500957738100,1501762922500,"2017-07-31",10
930.9366666666666,1502002800000,1502072334500,1502378070000,"2017-08-07",6
540,1502953200000,1503014663000,1503014607000,"2017-08-14",1
1236.8671428571429,1502582914285.7144,1502651832000,1503480721857.1428,"2017-08-21",7
808.705,1503277200000,1503345911250,1504134937250,"2017-08-28",8
275,1504594800000,1504673954500,1504674069500,"2017-09-04",2
