"date","purchased_ratio","repeat_purchased_ratio","avg_num_purchase","avg_LTV","avg_purchase_amount","avg_initial_purchase_cycle_in_days"
"2017-05-01",0.1739,0.087,1.75,228.5722,125.562,37
"2017-05-08",0.1293,0.0345,1.2667,207.1888,156.6889,42.7333
"2017-05-15",0.1143,0.0429,1.75,247.2292,135.9792,60.75
"2017-05-22",0.1333,0.0667,1.5,185.6041,125.3125,23.375
"2017-05-29",0.0566,0,1,118.3889,118.3889,38.3333
"2017-06-05",0.2029,0.058,1.2857,191.1262,155.4,37.2143
"2017-06-12",0.1818,0.0545,1.7,327.8266,172.072,25.2
"2017-06-19",0.0462,0.0308,3.3333,389.3333,126.3333,41.3333
"2017-06-26",0.16,0.04,1.5,239.7708,166.1458,27
"2017-07-03",0.0476,0.0238,2,108.9167,53.25,0
"2017-07-10",0.075,0.025,1.3333,229.4166,202.75,6
"2017-07-17",0.0818,0.0182,1.4444,255.5926,144.9259,20.1111
"2017-07-24",0.04,0,1,176.4166,176.4166,5.5
"2017-07-31",0.066,0,1,113.4286,113.4286,37.4286
"2017-08-07",0.0224,0.0075,1.3333,171,141.6666,25.3333
"2017-08-14",0.08,0,1,101.5694,101.5694,19.6667
"2017-08-21",0.04,0.016,1.6,181.28,115.76,24.2
"2017-08-28",0.0612,0,1,77.1944,77.1944,8
"2017-09-04",0.0943,0.0377,2,345.5,220.5,9
"2017-09-11",0.0345,0,1,73.175,73.175,6.25
"2017-09-18",0.1707,0.0244,1.1429,76.0492,60.6921,0
"2017-09-25",0.1917,0.0083,1.0435,169.6289,155.5855,3.087
"2017-10-02",0.1609,0.0115,1.1429,68.2262,61.9405,1.8571
"2017-10-09",0.1622,0.018,1.1111,63.1296,57.7639,1.3333
"2017-10-16",0.1304,0.029,1.2222,75.2685,63.4815,0
"2017-10-23",0.1307,0.0196,1.2,64.05,55.55,0.05
"2017-10-30",0.0641,0.0043,1.0667,66.9333,64.2,0.0667
"2017-11-06",0.1471,0,1,115.4666,115.4666,0
